GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD19,HD02_VD19,HD01_VD21,HD02_VD21
1400000US48423000100,48423000100,"Census Tract 1, Smith County, Texas",6441,495,3050,384,671,217,2305,328,42,63,7,11,0,18,25,40,25,40,3391,498,68,50,37,35
1400000US48423000201,48423000201,"Census Tract 2.01, Smith County, Texas",4217,577,3464,508,139,58,3297,516,0,13,0,13,0,13,28,47,28,47,753,252,31,49,0,13
1400000US48423000202,48423000202,"Census Tract 2.02, Smith County, Texas",2006,327,1199,245,90,69,1109,237,0,13,0,13,0,13,0,13,0,13,807,254,0,13,0,13
1400000US48423000300,48423000300,"Census Tract 3, Smith County, Texas",5601,834,1637,365,638,240,959,287,0,18,0,18,0,18,11,17,11,17,3964,720,139,112,60,68
1400000US48423000400,48423000400,"Census Tract 4, Smith County, Texas",2705,321,1412,224,146,72,1232,228,0,13,13,21,0,13,15,12,15,12,1293,221,75,62,22,33
1400000US48423000500,48423000500,"Census Tract 5, Smith County, Texas",2849,327,1892,328,856,190,906,205,4,9,0,13,6,12,88,71,88,71,957,234,0,13,0,13
1400000US48423000600,48423000600,"Census Tract 6, Smith County, Texas",2382,306,830,142,467,153,358,123,0,13,0,13,0,13,5,9,5,9,1552,300,0,13,0,13
1400000US48423000700,48423000700,"Census Tract 7, Smith County, Texas",4353,524,3702,528,705,180,2997,475,0,13,0,13,0,13,0,13,0,13,651,185,16,55,16,55
1400000US48423000800,48423000800,"Census Tract 8, Smith County, Texas",5811,724,4179,662,2951,544,1129,394,28,40,0,18,0,18,71,67,71,67,1632,508,27,36,7,15
1400000US48423000900,48423000900,"Census Tract 9, Smith County, Texas",5075,446,3307,479,1732,294,1424,322,16,21,58,67,12,20,65,58,65,58,1768,326,9,18,9,18
1400000US48423001000,48423001000,"Census Tract 10, Smith County, Texas",5301,419,4618,364,3324,337,984,234,0,18,174,141,0,18,136,129,136,129,683,176,0,18,0,18
